conversation__r:AI_obj_Conversation__c:ExternalId__c	Name	role__c	content__c
First	PR-00000	system	You act as the middleman between USER and a DATABASE. Your main goal is to answer questions based on data stored in a Salesforce CRM database (SERVER). You do this by executing valid queries against the database and interpreting the results to answer the questions from the USER.
First	PR-00001	user	From now you will only ever respond with JSON. When you want to address the user, you use the following format {"recipient": "USER", "message":"message for the user"}.
First	PR-00002	assistant	{"recipient": "USER", "message":"I understand."}
First	PR-00003	user	You can access Salesforce by using the SERVER recipient. When calling the server, you must also specify an action. The action can be QUERY when you want to query the database with a SOQL, or APEX  when you want to run a piece of APEX code. User will return the content of the variable 'result' if defined. The format you will use for an insert operation returning its Id is as follows {"recipient":"SERVER", "action":"APEX", "message":"Account acc = new Account(Name = 'Acme Corp.'); insert acc; Id result = acc.Id;"}. The format you will use for an upsert operation is as follows {"recipient":"SERVER", "action":"APEX", "message":"LEAD l = new Lead(LastName = 'testLead', Company = 'testCompany', ExternalId__c = 'NUM-0001') ExternalId__c; upsert l; Id result = l.Id;"}. The format you will use for query uses SOQL as follows: {"recipient":"SERVER", "action":"QUERY", "message":"SELECT Id, CaseNumber, Subject, Description, Status, CreatedDate FROM Case WHERE CaseNumber = '00001002'"}. When a successfull QUERY is performed, the data will be returned by the user.
First	PR-00004	user	Let's start! I want to know all the cases for a contact identified by its Email asong@uog.com or Phone (212) 842-5500 , in the last year.
First	PR-00005	assistant	{"recipient":"SERVER", "action":"QUERY", "message":"SELECT Id, CaseNumber, Status, Priority, Origin, Subject, Description, CreatedDate, Contact.Name FROM Case WHERE (Contact.Email = 'asong@uog.com' OR Contact.Phone = '(212) 842-5500') AND CreatedDate >= LAST_N_DAYS:365"}
First	PR-00006	user	"{
    ""status"": 0,
    ""result"": {
        ""records"": [{
                ""attributes"": {
                    ""type"": ""Case"",
                    ""url"": ""/services/data/v55.0/sobjects/Case/5007R00003XpYf8QAF""
                },
                ""Id"": ""5007R00003XpYf8QAF"",
                ""CaseNumber"": ""00001001"",
                ""Status"": ""Closed"",
                ""Priority"": ""High"",
                ""Origin"": ""Phone"",
                ""Subject"": ""Performance inadequate for second consecutive week"",
                ""Description"": null,
                ""CreatedDate"": ""2023-05-23T15:04:02.000+0000"",
                ""Contact"": {
                    ""attributes"": {
                        ""type"": ""Contact"",
                        ""url"": ""/services/data/v55.0/sobjects/Contact/0037R00003JDJoHQAX""
                    },
                    ""Name"": ""Avi Green""
                }
            }, {
                ""attributes"": {
                    ""type"": ""Case"",
                    ""url"": ""/services/data/v55.0/sobjects/Case/5007R00003XpYf9QAF""
                },
                ""Id"": ""5007R00003XpYf9QAF"",
                ""CaseNumber"": ""00001002"",
                ""Status"": ""New"",
                ""Priority"": ""Low"",
                ""Origin"": ""Web"",
                ""Subject"": ""Seeking guidance on electrical wiring installation for GC5060"",
                ""Description"": null,
                ""CreatedDate"": ""2023-05-23T15:04:02.000+0000"",
                ""Contact"": {
                    ""attributes"": {
                        ""type"": ""Contact"",
                        ""url"": ""/services/data/v55.0/sobjects/Contact/0037R00003JDJo7QAH""
                    },
                    ""Name"": ""Stella Pavlova""
                }
            }, {
                ""attributes"": {
                    ""type"": ""Case"",
                    ""url"": ""/services/data/v55.0/sobjects/Case/5007R00003XpYfSQAV""
                },
                ""Id"": ""5007R00003XpYfSQAV"",
                ""CaseNumber"": ""00001021"",
                ""Status"": ""Closed"",
                ""Priority"": ""High"",
                ""Origin"": ""Phone"",
                ""Subject"": ""Generator GC3060 platform structure is weakening"",
                ""Description"": null,
                ""CreatedDate"": ""2023-05-23T15:04:02.000+0000"",
                ""Contact"": {
                    ""attributes"": {
                        ""type"": ""Contact"",
                        ""url"": ""/services/data/v55.0/sobjects/Contact/0037R00003JDJo7QAH""
                    },
                    ""Name"": ""Stella Pavlova""
                }
            }, {
                ""attributes"": {
                    ""type"": ""Case"",
                    ""url"": ""/services/data/v55.0/sobjects/Case/5007R00003XpYfTQAV""
                },
                ""Id"": ""5007R00003XpYfTQAV"",
                ""CaseNumber"": ""00001022"",
                ""Status"": ""Closed"",
                ""Priority"": ""Medium"",
                ""Origin"": ""Web"",
                ""Subject"": ""Signal panel on GC5060 blinks intermittently"",
                ""Description"": null,
                ""CreatedDate"": ""2023-05-23T15:04:02.000+0000"",
                ""Contact"": {
                    ""attributes"": {
                        ""type"": ""Contact"",
                        ""url"": ""/services/data/v55.0/sobjects/Contact/0037R00003JDJo7QAH""
                    },
                    ""Name"": ""Stella Pavlova""
                }
            }, {
                ""attributes"": {
                    ""type"": ""Case"",
                    ""url"": ""/services/data/v55.0/sobjects/Case/5007R00003XpYfUQAV""
                },
                ""Id"": ""5007R00003XpYfUQAV"",
                ""CaseNumber"": ""00001023"",
                ""Status"": ""Closed"",
                ""Priority"": ""High"",
                ""Origin"": ""Phone"",
                ""Subject"": ""Electric surge damaging adjacent equipment"",
                ""Description"": null,
                ""CreatedDate"": ""2023-05-23T15:04:02.000+0000"",
                ""Contact"": {
                    ""attributes"": {
                        ""type"": ""Contact"",
                        ""url"": ""/services/data/v55.0/sobjects/Contact/0037R00003JDJo7QAH""
                    },
                    ""Name"": ""Stella Pavlova""
                }
            }, {
                ""attributes"": {
                    ""type"": ""Case"",
                    ""url"": ""/services/data/v55.0/sobjects/Case/5007R00003XpYfVQAV""
                },
                ""Id"": ""5007R00003XpYfVQAV"",
                ""CaseNumber"": ""00001024"",
                ""Status"": ""New"",
                ""Priority"": ""Low"",
                ""Origin"": ""Web"",
                ""Subject"": ""Design issue with mechanical rotor"",
                ""Description"": null,
                ""CreatedDate"": ""2023-05-23T15:04:02.000+0000"",
                ""Contact"": {
                    ""attributes"": {
                        ""type"": ""Contact"",
                        ""url"": ""/services/data/v55.0/sobjects/Contact/0037R00003JDJo8QAH""
                    },
                    ""Name"": ""Lauren Boyle""
                }
            }, {
                ""attributes"": {
                    ""type"": ""Case"",
                    ""url"": ""/services/data/v55.0/sobjects/Case/5007R00003XpYfWQAV""
                },
                ""Id"": ""5007R00003XpYfWQAV"",
                ""CaseNumber"": ""00001025"",
                ""Status"": ""Closed"",
                ""Priority"": ""Medium"",
                ""Origin"": ""Phone"",
                ""Subject"": ""Motor design hindering performance"",
                ""Description"": null,
                ""CreatedDate"": ""2023-05-23T15:04:02.000+0000"",
                ""Contact"": {
                    ""attributes"": {
                        ""type"": ""Contact"",
                        ""url"": ""/services/data/v55.0/sobjects/Contact/0037R00003JDJo8QAH""
                    },
                    ""Name"": ""Lauren Boyle""
                }
            }
        ],
        ""totalSize"": 7,
        ""done"": true
    }
}"
First	PR-00007	assistant	{"recipient": "USER", "message":"I found seven Cases."}
First	PR-00008	user	Tell me the ones you find with the status New.
First	PR-00009	assistant	{"recipient": "USER", "message":"I found one Case with number 00001002. It was created on May 23, 2023, at 15:04 with the subject 'Seeking guidance on electrical wiring installation for GC5060'."}
